31	2.7
32	2.91
33	2.76
63	3.26
64	3.38
65	3.27
95	3.46
96	3.55
97	3.45
127	3.58
128	3.53
129	3.56
159	3.66
160	3.7
161	3.64
191	3.69
192	3.71
193	3.69
223	3.73
224	3.76
225	3.73
255	3.77
256	3.64
257	3.75
287	3.76
288	3.78
289	3.75
319	3.77
320	3.78
321	3.77
351	3.79
352	3.81
353	3.78
383	3.8
384	3.77
385	3.8
415	3.8
416	3.81
417	3.8
447	3.81
448	3.82
449	3.81
479	3.81
480	3.83
481	3.81
511	3.83
512	3.62
513	3.8
543	3.84
544	3.7
545	3.72
575	3.74
576	3.7
577	3.74
607	3.74
608	3.71
609	3.74
639	3.73
640	3.69
641	3.73
671	3.73
672	3.71
673	3.73
703	3.73
704	3.71
705	3.74
735	3.73
736	3.72
737	3.73
767	3.73
768	3.64
769	3.73
799	3.73
800	3.73
801	3.74
831	3.73
832	3.71
833	3.73
863	3.73
864	3.73
865	3.74
895	3.74
896	3.71
897	3.75
927	3.75
928	3.74
929	3.75
959	3.75
960	3.73
961	3.75
991	3.75
992	3.72
993	3.53
1023	3.63
1024	3.01
1025	3.65
